start	end	text
0	9000	Chciałbym po prostu zacząć od tego, żeś mi opowiedział trochę o tym, jak zaczęła się w ogóle twoja przygoda w IT.
9000	15000	Jak to się wszystko zaczęło, czy to się zaczęło na studiach, czy przed studiami. Chciałbym pójść daleko.
15000	20000	Spoko, spoko. Możemy spróbować.
20000	24000	To jest w sumie dość ciekawa historia z mojego punktu widzenia, ale pewnie nie tylko.
24000	33000	Jak spojrzę sobie historycznie, jak to poszło, bo ja w zasadzie trochę robiłem, pomagałem mojemu tacie.
33000	42000	On miał firmę, telewizję kablową i tam sobie z nim jakieś małe rzeczy typu graficzne, bardziej tam tematy.
42000	48000	Ale ja byłem, nie wiem ile miałem lat, może naście. Także to była pierwsza przygoda oczywiście z grami.
48000	50000	A na jakim sofcie to było wtedy?
50000	62000	To był Star Office. Był za darmo, więc oczywiście jak to w Polsce w tych latach odległych każdy uwielbiał ten darmowy soft.
62000	67000	Także robiliśmy tam cuda, jakieś prezentacje. To było na zasadzie, że do reklam.
67000	77000	Wiesz jak puszczają tam te reklamy i po prostu jakaś firma XYZ i tam dzisiaj promocja tego i tak dalej.
77000	81000	Czyli twoje materiały były już na kanałach, normalnie w telewizji?
81000	92000	Tak, w telewizji kablowej lokalnej w Chojnicach. Tam nie było sporo klientów, ale rzeczywiście one wpadały.
92000	106000	To była taka amatorszczyzna, bo ja nie byłem grafikiem. To na zasadzie było po prostu zmontować parę zdjęć, coś tam niby obrobić, jakiś dorzucić tekst i tyle.
106000	112000	Ale powiedzmy, że to jest jakiś tam początek, poza oczywiście grami.
112000	120000	Wiadomo, moja mama mi kupiła kompa jak miałem powiedzmy 8 lat i od tego czasu jakby gierki i te sprawy.
120000	124000	To była główna metoda na spożytkowanie komputera.
124000	132000	Niestety u nas w szkole ani podstawowej, można powiedzieć nawet w liceum, my nie mieliśmy programowania.
132000	138000	To jest w ogóle tragiczne, że nie ukierunkowali w takim mieście jak Chojnice.
138000	145000	Ja pamiętam jak poszedłem później na studia, to wszyscy już tam, kurde, każdy język C, C++ i tak dalej.
145000	150000	A ja, kurde, 3 worda znałem i to było wszystko.
150000	153000	Więc to było też ciekawe.
153000	162000	No i powiedzmy, że od tego czasu jakby byłem przy kompach, tam mówię bardziej półkomercyjnie, coś tam za to zawsze dostałem.
162000	173000	Ale tak naprawdę przygoda to były studia. Na studia poszedłem na Politechnikę, na informatykę, na Politechnikę Poznańską.
174000	188000	I idąc tam, jakby wiedząc, znając miejsce w szeregu, że ja nie jestem programista, ja nie jestem gościu, który, wiesz, robił tam lata i kurcze, kodził i sobie jakieś tam gierki na boku i inne rzeczy tworzył.
188000	193000	To ja mówiłem, że nie, to pewnie nie będzie dla mnie, ja muszę bardziej od strony jakby podejść.
193000	202000	Ja sobie wybrałem networking i robiłem tam CCNA, jest taki, powiedzmy, droga certyfikująca.
202000	205000	Generalnie urządzenia Cisco i networking.
205000	207000	Aha, czyli zarządzanie siecią, tak?
207000	214000	Takie zarządzanie siecią, myślałem, że to jest w miarę łatwiejszy temat dla mnie, bo to też było z sieciami z kablówką jakby.
214000	221000	Mój ojciec miał kablówkę, więc jakby po drodze to było, że to są sieci, kabluwa, no to sieci, no dobra, no to będę sieci.
221000	225000	W domu też miałem LAN-a, jak graliśmy w CS-ach, to musiałeś złączyć te kompki.
226000	229000	Wydawało mi się, że to też taka w miarę łatwa droga.
231000	239000	I co najlepsze, okazało się, że powiedzmy zacząłem te studia, studia się okazały dosyć ciężkie.
239000	245000	Na dziennych tam powiedzmy na Polibudzie dla mnie to był strzał w kolano, jednak te programistyczne tematy były, ich było dosyć dużo,
245000	252000	a ja cały czas z uporem maniaka, że to nie dla mnie, więc ja w ogóle programować nie mogę i nie chcę,
252000	257000	bo ja będę po prostu robić co innego, bo pewnie jest, wiadomo w IT jest tyle rzeczy, że nie muszę tego robić.
257000	259000	Pisaliście C++-a na kartkach papieru?
259000	264000	No tam Pascala bardziej jeszcze, także hardcore taki konkretny.
266000	267000	No i zawaliłem studia.
267000	274000	Jakby udało mi się na drugi rok wskoczyć, trochę tam pojawiła się obecna moja żona,
274000	279000	wcześniej dziewczyna, gdzie dużo bywałem w Toruniu zamiast w Poznaniu na zajęciach,
279000	286000	także trochę było odskoczni i rozrywkowy tryb życia i generalnie stwierdziłem, że...
